864,ACALA SPARKLING TEA,WHITE SPARKLING TEA,ACALA SPARKLING TEA,LITHUANIA,ABV 0.0%,"JUDGES' TASTING NOTE
Light amber colour with flavours of tea, toasted nuts, honey and orange blossom. Delicate and aromatic, with a sophisticated, refreshing floral/citrus palate there's a real summer-feel to this. A classy alternative to sparkling wine that could also pair well with sushi or fusion dishes.",Tea / Kombucha / Kefir (Water)Alt Wine / Sake,Energy: 8kcal per 100ml,Carbohydrates: 1.90g per 100ml,Sugars: 2g per 100ml,https://drinkacala.com/
862,ALCONOT,RASPBERRY INFUSED,UNITED BEVERAGES LIMITED,UNITED KINGDOM,ABV < 0.5%,"JUDGES' TASTING NOTE
Pale red/dark pink colour spirit, with flavours of redcurrant, cranberry, raspberry and rhubarb. Some juniper/pine tartness on the palate, with a light coriander/herbiness. Mixed with tonic, this holds its character well, and is a great versatile option for lovers of flavoured gin.",Cocktail BaseSpirit / BittersAlt Spirit,Energy: 52kj per 50ml serving,Carbohydrates: 3g per 50ml serving,Sugars: 0.50g per 50ml serving,https://drinkacala.com/
832,AMBIJUS,CLEARLY CONFUSED,NOLO NORDIC,NORWAY,ABV < 0.5%,"JUDGES' TASTING NOTE
This aromatic wine alternative pushes boundaries - but subtly. A medium gold colour, it has flavours of blossom, stone fruit and rosemary backed up by honey through the mid-palate. A light woody spice builds on the finish. There's a lot going on here, but it's thoughtfully blended and balanced. A serious, grown-up drink that's refreshing and has real food-matching potential.",Soda / Juice BlendAlt Wine / Sake,Energy: 30kcal per 100ml,Carbohydrates: 7g per 100ml,Sugars: 6g per 100ml,https://unitedbeverages.co.uk/
844,ARTONIC,GREEN VIBES,ROUTIN,FRANCE,ABV < 0.5%,"JUDGES' TASTING NOTE
Freshness is the key word for this drink, with aromas of green leaf, cucumber, thyme and citrus front and centre. The palate is light, smooth and refreshing, with more green flavours, such as celery plus added aromatic coriander and fennel. A fine option for anyone who likes spicy gin styles or dry Martinis.",Cocktail BaseSpirit / BittersAlt Spirit,Energy: 2kcal per 100ml,Carbohydrates: 0g per 100ml,Sugars: 0g per 100ml,https://www.ambijus.com
874,ATOPIA,SPICED CITRUS,WILLIAM GRANT & SONS LTD.,UNITED KINGDOM,ABV 0.05%,"JUDGES' TASTING NOTE
Clear, with flavours of lemon, apple, menthol and spices. This is slightly sweeter than some botanical spirits, but its combination of pithy citrus and drying spices mean it's really well balanced. An versatile and charming non-alc alternative for gin drinkers and AF bartenders alike.",Spirit / BittersAlt Spirit,Energy: 22kcal per 100ml,Carbohydrates: 5g per 100ml,Sugars: 5g per 100ml,https://maisonartonic.com
860,BELLES BULLES,BELLES BULLES,FAMILLE RUHLMANN-SCHUTZ,FRANCE,ABV < 0.5%,"JUDGES' TASTING NOTE
Pale gold, with aromas of citrus, golden apple, cooking spice and orange blossom. The palate is juicily comforting, with flavours of stone-fruit, tangy lemon and melon. Off-dry, with a creamy mousse and balancing acidity, this is a hugely likeable AF sparkler that's complex but still approachable.",WineAlt Wine / Sake,Energy: 14kcal per 100ml,Carbohydrates: 2.80g per 100ml,Sugars: 2.80g per 100ml,https://www.atopiaspirits.com/
827,BERTIC0%T SAUVIGNON BLANC,BERTIC0%T SAUVIGNON BLANC,TERRE DE VIGNERONS,FRANCE,ABV 0.0%,"JUDGES' TASTING NOTE
The fact that some of our tasters picked that this was a French Sauvignon Blanc says a lot. It's absolutely textbook: crisp, layered and dry with flavours of privet, earthy grass and some richer more orchard-fruit aromas in behind. Good for shellfish - particularly sweet/spicy Asian food - or a charcuterie board with creamy cheeses.",Wine,Energy: 11kcal per 100ml,Carbohydrates: 2.70g per 100ml,Sugars: 2.70g per 100ml,https://www.ruhlmann-schutz.fr
828,BON VOYAGE,BON VOYAGE SPARKLING PINOT NOIR ROSÉ,LES GRANDS CHAIS DE FRANCE,GERMANY,ABV < 0.5%,"JUDGES' TASTING NOTE
An enticing pale, salmon-pink colour and an equally enticing nose. Flavours of raspberry, strawberry and cranberry make for an exuberant celebration of summer fruits. With plenty of aromatics, a good balance of fruit-sweetness and crispness on the finish, this is equally at home as a sipper or with food such as smoked salmon.",Wine,Energy: 30kcal per 100ml,Carbohydrates: 5.50g per 100ml,Sugars: 5g per 100ml,
842,BÔTAN DISTILLERY,GINZU,BÔTAN DISTILLERY,BELGIUM,ABV 0.0%,"JUDGES' TASTING NOTE
This intriguing cloudy yellow cocktail is all about herbs and spices, with aromatic flavours of thyme, rosemary and sassafras underpinned by a more savoury bass-note rumble of earth and iodine. The multiple layers are beautifully combined to create a sophisticated, complex drink that can work as a cocktail or restaurant food-match alike.",Aperitif / VermouthCocktail (ready to drink),Energy: 20.97kcal per 100ml,Carbohydrates: 5.05g per 100ml,Sugars: 4.53g per 100ml,https://botan-distillery.com/
886,CA' DA ROMAN,ZEROMAX,CA' DA ROMAN,ITALY,ABV 0.0%,"JUDGES' TASTING NOTE
This sparkler is about three things: dryness, freshness and structure. From its small, tight bubbles to its aromas of grass and green apples, it's a drink of poise and restraint. There is a light toasty softness on the palate, but there's also a clean, tangy minerality. A taut, zesty aperitif - particularly for lovers of drier wine styles.",Aperitif / VermouthWineAlt Wine / Sake,Energy: 76kj per 100ml,Carbohydrates: 3.10g per 100ml,Sugars: 3.10g per 100ml,https://botan-distillery.com/
